Matchup,Agent1,Agent1Win%,Draw%,Agent2Win%,WinAsP1%,WinAsP2%
Minimax vs Minimax-AB,Minimax,0.0,100.0,0.0,0.0,0.0
Minimax vs Q-Learning,Minimax,90.1,9.9,0.0,87.8,92.4
Minimax vs DQN,Minimax,100.0,0.0,0.0,100.0,100.0
Minimax-AB vs Q-Learning,Minimax-AB,91.3,8.7,0.0,88.2,94.4
Minimax-AB vs DQN,Minimax-AB,100.0,0.0,0.0,100.0,100.0
Q-Learning vs DQN,Q-Learning,30.9,30.4,38.7,40.6,21.2
