Time elapsed: 620s,  Nodes searched: 15,081,036
Time elapsed: 625s,  Nodes searched: 15,202,403
Time elapsed: 630s,  Nodes searched: 15,327,612
Time elapsed: 635s,  Nodes searched: 15,448,526
Time elapsed: 640s,  Nodes searched: 15,573,431
Time elapsed: 645s,  Nodes searched: 15,693,400
Time elapsed: 650s,  Nodes searched: 15,819,672
Time elapsed: 655s,  Nodes searched: 15,942,152
Time elapsed: 660s,  Nodes searched: 16,068,205
Time elapsed: 665s,  Nodes searched: 16,193,422
Time elapsed: 670s,  Nodes searched: 16,318,322
Time elapsed: 675s,  Nodes searched: 16,445,451
Time elapsed: 680s,  Nodes searched: 16,565,015
Time elapsed: 685s,  Nodes searched: 16,690,717
Time elapsed: 690s,  Nodes searched: 16,818,190
Time elapsed: 695s,  Nodes searched: 16,945,090
Time elapsed: 700s,  Nodes searched: 17,065,015
Time elapsed: 705s,  Nodes searched: 17,184,446
Time elapsed: 710s,  Nodes searched: 17,304,587
Time elapsed: 715s,  Nodes searched: 17,423,986
Time elapsed: 720s,  Nodes searched: 17,544,574
Time elapsed: 725s,  Nodes searched: 17,672,429
Time elapsed: 730s,  Nodes searched: 17,798,315
Time elapsed: 735s,  Nodes searched: 17,924,360
Time elapsed: 740s,  Nodes searched: 18,049,547
Time elapsed: 745s,  Nodes searched: 18,170,718
Time elapsed: 750s,  Nodes searched: 18,291,638
Time elapsed: 755s,  Nodes searched: 18,418,870
Time elapsed: 760s,  Nodes searched: 18,543,880
Time elapsed: 765s,  Nodes searched: 18,672,007
Time elapsed: 770s,  Nodes searched: 18,800,199
Time elapsed: 775s,  Nodes searched: 18,920,593
Time elapsed: 780s,  Nodes searched: 19,045,257
Time elapsed: 785s,  Nodes searched: 19,171,799
Time elapsed: 790s,  Nodes searched: 19,297,202
Time elapsed: 795s,  Nodes searched: 19,423,644
Time elapsed: 800s,  Nodes searched: 19,545,156
Time elapsed: 805s,  Nodes searched: 19,664,170
Time elapsed: 810s,  Nodes searched: 19,776,019
Time elapsed: 815s,  Nodes searched: 19,892,348
Time elapsed: 820s,  Nodes searched: 20,002,805
Time elapsed: 825s,  Nodes searched: 20,107,190
Time elapsed: 830s,  Nodes searched: 20,222,392
Time elapsed: 835s,  Nodes searched: 20,335,199
Time elapsed: 840s,  Nodes searched: 20,460,182
Time elapsed: 845s,  Nodes searched: 20,582,094
Time elapsed: 850s,  Nodes searched: 20,699,062
Time elapsed: 855s,  Nodes searched: 20,820,451
Time elapsed: 860s,  Nodes searched: 20,945,116
Time elapsed: 865s,  Nodes searched: 21,070,573
Time elapsed: 870s,  Nodes searched: 21,194,614
Time elapsed: 875s,  Nodes searched: 21,319,991
Time elapsed: 880s,  Nodes searched: 21,444,512
Time elapsed: 885s,  Nodes searched: 21,567,515
Time elapsed: 890s,  Nodes searched: 21,693,705
Time elapsed: 895s,  Nodes searched: 21,818,745
Time elapsed: 900s,  Nodes searched: 21,944,719
Time elapsed: 905s,  Nodes searched: 22,070,715
Time elapsed: 910s,  Nodes searched: 22,195,908
Time elapsed: 915s,  Nodes searched: 22,319,476
Time elapsed: 920s,  Nodes searched: 22,438,137
Time elapsed: 925s,  Nodes searched: 22,555,229
Time elapsed: 930s,  Nodes searched: 22,673,582
Time elapsed: 935s,  Nodes searched: 22,791,286
Time elapsed: 940s,  Nodes searched: 22,910,314
Time elapsed: 945s,  Nodes searched: 23,032,661
Time elapsed: 950s,  Nodes searched: 23,159,188
Time elapsed: 955s,  Nodes searched: 23,286,462
Time elapsed: 960s,  Nodes searched: 23,413,730
Time elapsed: 965s,  Nodes searched: 23,535,334
Time elapsed: 970s,  Nodes searched: 23,659,632
Time elapsed: 975s,  Nodes searched: 23,781,326
Time elapsed: 980s,  Nodes searched: 23,906,985
Time elapsed: 985s,  Nodes searched: 24,032,841
Time elapsed: 990s,  Nodes searched: 24,154,327
Time elapsed: 995s,  Nodes searched: 24,279,655
Time elapsed: 1000s,  Nodes searched: 24,405,524
Time elapsed: 1005s,  Nodes searched: 24,531,728
Time elapsed: 1010s,  Nodes searched: 24,653,412
Time elapsed: 1015s,  Nodes searched: 24,777,546
Time elapsed: 1020s,  Nodes searched: 24,901,549
Time elapsed: 1025s,  Nodes searched: 25,028,209
Time elapsed: 1030s,  Nodes searched: 25,154,499
Time elapsed: 1035s,  Nodes searched: 25,279,526
Time elapsed: 1040s,  Nodes searched: 25,405,192
Time elapsed: 1045s,  Nodes searched: 25,525,120
Time elapsed: 1050s,  Nodes searched: 25,647,802
Time elapsed: 1055s,  Nodes searched: 25,774,305
Time elapsed: 1060s,  Nodes searched: 25,899,300
Time elapsed: 1065s,  Nodes searched: 26,020,384
Time elapsed: 1070s,  Nodes searched: 26,148,250
Time elapsed: 1075s,  Nodes searched: 26,271,605
Time elapsed: 1080s,  Nodes searched: 26,397,446
Time elapsed: 1085s,  Nodes searched: 26,523,559
Time elapsed: 1090s,  Nodes searched: 26,647,953
Time elapsed: 1095s,  Nodes searched: 26,771,088
Time elapsed: 1100s,  Nodes searched: 26,896,861
Time elapsed: 1105s,  Nodes searched: 27,022,002
Time elapsed: 1110s,  Nodes searched: 27,142,914
Time elapsed: 1115s,  Nodes searched: 27,261,140
Time elapsed: 1120s,  Nodes searched: 27,383,535
Time elapsed: 1125s,  Nodes searched: 27,506,770
Time elapsed: 1130s,  Nodes searched: 27,628,200
Time elapsed: 1135s,  Nodes searched: 27,752,326
Time elapsed: 1140s,  Nodes searched: 27,879,369
Time elapsed: 1145s,  Nodes searched: 28,006,143
Time elapsed: 1150s,  Nodes searched: 28,126,701
Time elapsed: 1155s,  Nodes searched: 28,251,511
Time elapsed: 1160s,  Nodes searched: 28,377,619
Time elapsed: 1165s,  Nodes searched: 28,503,340
Time elapsed: 1170s,  Nodes searched: 28,630,387
Time elapsed: 1175s,  Nodes searched: 28,753,599
Time elapsed: 1180s,  Nodes searched: 28,877,420
Time elapsed: 1185s,  Nodes searched: 29,001,724
Time elapsed: 1190s,  Nodes searched: 29,127,976
Time elapsed: 1195s,  Nodes searched: 29,254,269
Time elapsed: 1200s,  Nodes searched: 29,382,247
Time elapsed: 1205s,  Nodes searched: 29,508,831
Time elapsed: 1210s,  Nodes searched: 29,636,292
Time elapsed: 1215s,  Nodes searched: 29,756,402
Time elapsed: 1220s,  Nodes searched: 29,875,545
Time elapsed: 1225s,  Nodes searched: 29,991,979
Time elapsed: 1230s,  Nodes searched: 30,114,972
Time elapsed: 1235s,  Nodes searched: 30,241,220
Time elapsed: 1240s,  Nodes searched: 30,367,011
Time elapsed: 1245s,  Nodes searched: 30,494,113
Time elapsed: 1250s,  Nodes searched: 30,614,814
Time elapsed: 1255s,  Nodes searched: 30,729,517
Time elapsed: 1260s,  Nodes searched: 30,851,955
Time elapsed: 1265s,  Nodes searched: 30,978,593
Time elapsed: 1270s,  Nodes searched: 31,103,381
Time elapsed: 1275s,  Nodes searched: 31,223,724
Time elapsed: 1280s,  Nodes searched: 31,351,686
Time elapsed: 1285s,  Nodes searched: 31,478,437
Time elapsed: 1290s,  Nodes searched: 31,604,713
Time elapsed: 1295s,  Nodes searched: 31,732,376
Time elapsed: 1300s,  Nodes searched: 31,859,226
Time elapsed: 1305s,  Nodes searched: 31,986,364
Time elapsed: 1310s,  Nodes searched: 32,113,773
Time elapsed: 1315s,  Nodes searched: 32,241,331
Time elapsed: 1320s,  Nodes searched: 32,365,020
Time elapsed: 1325s,  Nodes searched: 32,492,015
Time elapsed: 1330s,  Nodes searched: 32,617,236
Time elapsed: 1335s,  Nodes searched: 32,738,959
Time elapsed: 1340s,  Nodes searched: 32,857,900
Time elapsed: 1345s,  Nodes searched: 32,976,883
Time elapsed: 1350s,  Nodes searched: 33,096,490
Time elapsed: 1355s,  Nodes searched: 33,222,774
Time elapsed: 1360s,  Nodes searched: 33,350,998
Time elapsed: 1365s,  Nodes searched: 33,478,492
Time elapsed: 1370s,  Nodes searched: 33,606,943
Time elapsed: 1375s,  Nodes searched: 33,727,179
Time elapsed: 1380s,  Nodes searched: 33,853,876
Time elapsed: 1385s,  Nodes searched: 33,980,820
Time elapsed: 1390s,  Nodes searched: 34,107,779
Time elapsed: 1395s,  Nodes searched: 34,230,969
Time elapsed: 1400s,  Nodes searched: 34,358,324
Time elapsed: 1405s,  Nodes searched: 34,483,993
Time elapsed: 1410s,  Nodes searched: 34,605,869
Time elapsed: 1415s,  Nodes searched: 34,732,447
Time elapsed: 1420s,  Nodes searched: 34,858,772
Time elapsed: 1425s,  Nodes searched: 34,983,882
Time elapsed: 1430s,  Nodes searched: 35,107,465
Time elapsed: 1435s,  Nodes searched: 35,235,831
Time elapsed: 1440s,  Nodes searched: 35,360,405
Time elapsed: 1445s,  Nodes searched: 35,486,159
Time elapsed: 1450s,  Nodes searched: 35,612,328
Time elapsed: 1455s,  Nodes searched: 35,739,124
Time elapsed: 1460s,  Nodes searched: 35,863,379
Time elapsed: 1465s,  Nodes searched: 35,989,957
Time elapsed: 1470s,  Nodes searched: 36,115,320
Time elapsed: 1475s,  Nodes searched: 36,241,303
Time elapsed: 1480s,  Nodes searched: 36,367,773
Time elapsed: 1485s,  Nodes searched: 36,493,241
Time elapsed: 1490s,  Nodes searched: 36,619,624
Time elapsed: 1495s,  Nodes searched: 36,747,161
Time elapsed: 1500s,  Nodes searched: 36,872,942
Time elapsed: 1505s,  Nodes searched: 36,999,514
Time elapsed: 1510s,  Nodes searched: 37,120,648
Time elapsed: 1515s,  Nodes searched: 37,242,047
Time elapsed: 1520s,  Nodes searched: 37,367,005
Time elapsed: 1525s,  Nodes searched: 37,487,706
Time elapsed: 1530s,  Nodes searched: 37,610,842
Time elapsed: 1535s,  Nodes searched: 37,733,255
Time elapsed: 1540s,  Nodes searched: 37,858,351
Time elapsed: 1545s,  Nodes searched: 37,980,931
Time elapsed: 1550s,  Nodes searched: 38,105,670
Time elapsed: 1555s,  Nodes searched: 38,229,779
Time elapsed: 1560s,  Nodes searched: 38,350,479
Time elapsed: 1565s,  Nodes searched: 38,473,640
Time elapsed: 1570s,  Nodes searched: 38,596,343
Time elapsed: 1575s,  Nodes searched: 38,719,575
Time elapsed: 1580s,  Nodes searched: 38,847,733
Time elapsed: 1585s,  Nodes searched: 38,976,432
Time elapsed: 1590s,  Nodes searched: 39,105,417
Time elapsed: 1595s,  Nodes searched: 39,231,640
Time elapsed: 1600s,  Nodes searched: 39,358,673
Time elapsed: 1605s,  Nodes searched: 39,487,217
Time elapsed: 1610s,  Nodes searched: 39,612,930
Time elapsed: 1615s,  Nodes searched: 39,742,080
Time elapsed: 1620s,  Nodes searched: 39,870,540
Time elapsed: 1625s,  Nodes searched: 39,994,635
Time elapsed: 1630s,  Nodes searched: 40,118,175
Time elapsed: 1635s,  Nodes searched: 40,243,123
Time elapsed: 1640s,  Nodes searched: 40,371,650
Time elapsed: 1645s,  Nodes searched: 40,502,110
Time elapsed: 1650s,  Nodes searched: 40,628,137
Time elapsed: 1655s,  Nodes searched: 40,756,652
Time elapsed: 1660s,  Nodes searched: 40,882,643
Time elapsed: 1665s,  Nodes searched: 41,011,302
Time elapsed: 1670s,  Nodes searched: 41,142,019
Time elapsed: 1675s,  Nodes searched: 41,270,764
Time elapsed: 1680s,  Nodes searched: 41,398,124
Time elapsed: 1685s,  Nodes searched: 41,522,401
Time elapsed: 1690s,  Nodes searched: 41,647,077
Time elapsed: 1695s,  Nodes searched: 41,776,290
Time elapsed: 1700s,  Nodes searched: 41,905,632
Time elapsed: 1705s,  Nodes searched: 42,033,162
Time elapsed: 1710s,  Nodes searched: 42,152,082
Time elapsed: 1715s,  Nodes searched: 42,270,220
Time elapsed: 1720s,  Nodes searched: 42,388,920
Time elapsed: 1725s,  Nodes searched: 42,508,392
Time elapsed: 1730s,  Nodes searched: 42,630,535
Time elapsed: 1735s,  Nodes searched: 42,754,059
Time elapsed: 1740s,  Nodes searched: 42,876,563
Time elapsed: 1745s,  Nodes searched: 42,999,840
Time elapsed: 1750s,  Nodes searched: 43,119,822
Time elapsed: 1755s,  Nodes searched: 43,243,006
Time elapsed: 1760s,  Nodes searched: 43,367,440
Time elapsed: 1765s,  Nodes searched: 43,494,472
Time elapsed: 1770s,  Nodes searched: 43,620,665
Time elapsed: 1775s,  Nodes searched: 43,748,013
Time elapsed: 1780s,  Nodes searched: 43,871,436
Time elapsed: 1785s,  Nodes searched: 43,997,352
Time elapsed: 1790s,  Nodes searched: 44,120,542
Time elapsed: 1795s,  Nodes searched: 44,248,296
Time elapsed: 1800s,  Nodes searched: 44,374,837
